i_idx	j_idx	xij
28	477	1.1666666666666665
28	96	0.25
28	579	1.0
28	414	1.0
28	1475	0.5
28	33	0.3333333333333333
28	203	0.25
28	306	1.0
28	392	0.5
28	1194	1.0
28	177	0.5
28	47	1.2
28	925	0.5
28	22	0.3333333333333333
28	620	0.2
28	1488	0.25
28	1388	0.5
28	446	1.0
28	38	0.25
28	63	0.2
28	35	0.3333333333333333
28	816	0.3333333333333333
28	474	1.0
28	131	0.5
28	1489	0.3333333333333333
28	70	0.2
28	654	0.3333333333333333
28	440	1.0
28	259	0.7
28	53	0.25
1503	639	2.4833333333333334
1503	640	1.8166666666666664
1503	16	74.01666666666672
1503	28	44.55000000000003
1503	1503	3692.733333333309
1503	12	105.45000000000005
1503	9	222.83333333333334
1503	145	13.266666666666667
1503	481	1.7666666666666666
1503	641	1.9
1503	642	6.266666666666667
1503	2	260.96666666666624
1503	380	6.9333333333333345
1503	879	2.8166666666666664
1503	381	1.8166666666666664
1503	880	2.733333333333334
1503	162	11.566666666666666
1503	146	8.766666666666667
1503	4	263.4833333333331
1503	482	5.466666666666667
1503	382	3.4333333333333336
1503	14	59.933333333333394
1503	87	10.333333333333337
1503	643	3.6166666666666667
1503	8	142.21666666666673
1503	102	21.583333333333332
1503	111	14.599999999999998
1503	103	10.500000000000002
1503	0	695.1666666666698
1503	312	6.083333333333333
1503	136	11.616666666666665
1503	61	9.633333333333333
1503	644	0.5333333333333333
1503	35	37.78333333333333
1503	163	10.483333333333333
1503	645	4.783333333333333
1503	881	1.0
1503	7	169.95000000000007
1503	882	0.5
1503	259	8.833333333333332
1503	137	9.166666666666668
1503	104	10.483333333333333
