hashtag,frequency
#MLK,81
#shopsmall,81
#Maria,81
#September11th,81
#spending,81
#JOBSAct,81
#NESEN,81
#PTSD,80
#FISA,80
#EagleScout,80
#HispanicHeritageMonth,80
#NationalPrayerBreakfast,80
#awesome,80
#RollTide,80
#pa11,80
#FL17,80
#scgop,80
#PA05,80
#fullrepeal,79
#SecureTheBorder,79
#Egypt,79
#Coal,79
#ff,79
#TSCA,79
#wildfires,79
#EUREKA,79
#cyber,79
#WorldSeries,79
#StopTheTaxHike,79
#Ohioans,79
#great,79
#PA15,79
#shutdownquestions,79
#GivingTuesday,78
#smallbusinesses,78
#2059more,78
#DREAMers,78
#txlege,78
#Toomey,78
#Perry2016,78
#Bipartisan,77
#StopSchoolViolenceAct,77
#EndHumanTrafficking,77
#Castro,77
#taxrelief,77
#Wyo,77
#DFWnews,77
#ABLEAct,76
#PainCapable,76
#publichealth,76
#AmericasNewCongress,76
#PassTheBill,76
#NeverAgain,76
#NRA,76
#Indiana,76
#IL18,76
#MTPol,76
#GA07,76
#ErieCounty,76
#AFBday,75
#startups,75
#ValentinesDay,75
#ScaliseStrong,75
#VAMissionAct,75
#REINS,75
#ArmyStrong,75
#HoustonStrong,75
#StartupAct,75
#climatechange,74
#SubEnvironment,74
#Marines,74
#constantcontact,74
#YomKippur,74
#TTH,74
#MH17,74
#WheresRon,74
#HappyHanukkah,73
#CapitolHill,73
#POWMIA,73
#116thCongress,73
#Tennessee,73
#Jointsession,73
#GoodFriday,73
#Iran's,73
#RecordOfSuccess,73
#Michigan,73
#SanAntonio,73
#GrandForks,73
#NM,73
#FederalFumbles,73
#TX26,73
#curtisforcongress,73
#ZikaVirus,72
#ncga,72
#seniors,72
#Bush41,72
#CleanPowerPlan,72
#HappeningNow,72
#TeamPoe,72
#EEUU,72
#USDA,72
#border,72
#StateOfTheUnion,72
#democracy,72
#libertad,72
#NDUAS,72
#WyoHistory,72
#AR02,72
#IN09,72
#GSEReform,72
#KeepPounding,71
#ParisAttacks,71
#STOPSchoolViolenceAct,71
#FCC,71
#EmailPrivacyAct,71
#FlashbackFriday,71
#Delphi,71
#SpaceForce,71
#OH08,71
#standuptoReid,71
#CPAC,70
#HomelandSecurity,70
#troops,70
#YuccaMountain,70
#HBD,70
#DC2DQ,70
#GOPNMC,70
#Phoenix,70
#MedDeviceTax,70
#arwx,70
#Paris,69
#Cybersecurity,69
#WeCantWait,69
#VietnamVeteransDay,69
#PeaceOfficersMemorialDay,69
#MedalofHonor,69
#Military,69
#TimetoBuild,69
#SocialSecurity,69
#CongressionalAppChallenge,69
#PA16,69
#TylerStrong,69
#NationalDogDay,68
#FollowFriday,68
#s,68
#FourthofJuly,68
#entrepreneurs,68
#2015SLS,68
#SMTTT,68
#Reagan,67
#Eclipse2017,67
#regulations,67
#RonaldReagan,67
#KeepYourHealthPlan,67
#California,67
#iowa,67
#rural,67
#Arctic,67
#DYK,67
#StandWithSongwriters,67
#ESEA,67
#WeeklyWrapUp,67
#CyberSecurity,66
#SOPRA,66
#TeacherAppreciationDay,66
#BorderCrisis,66
#GodBlessAmerica,66
#Workforce,66
#CA21,66
#Houston,66
#Challenger,66
#GigEm,66
#FortHood,66
#GoodNews,66
#sgp,66
#MD01,66
#OK04,66
#StateCollege,66
#Manchester,65
#ALS,65
#sequester,65
#WashingtonDC,65
#HappyFathersDay,65
#ParisAgreement,65
#BenghaziReport,65
#WhiteHouse,65
#ThankAFarmer,65
#PurpleHeart,65
#TeaParty,65
#EndExIm,65
#CNNSOTU,65
#NationalLawEnforcementAppreciationDay,65
#GrahamCassidy,65
#gasprices,65
#FL12,65
#ZTE,65
#mngop,65
#GSEreform,65
#SC02,65
#HBCU,64
#FinalFour,64
#EndALZ,64
#GTMO,64
#WI,64
#defense,64
#StudentSuccessAct,64
#MLK50,64
#4,64
#AskObama,64
#health,64
#CommonCore,64
#AskSebelius,64
#ar2,64
#COpolitics,64
#DDay70,63
#HJC114,63
#Roanoke,63
#FEMA,63
#JointSession,63
#HobbyLobby,63
#MTP,63
#BroomeCounty,63
#KansasCommonSense,63
#va07,63
#ClintonCounty,63
#FL17ObamacareStories,63
#MathGuyMonday,63
#marchmadness,62
#FDA,62
#TrainWreck,62
#TeamJonny,62
#CrisisNextDoor,62
#OnHisDesk,62
#FullCmte,62
#Colombia,62
#VAScandal,62
#SBW2014,62
#KeysRecovery,62
#fb,62
#swva,62
#DrugFreeMO,62
#teamcomer,62
#DeedsNotWords,62
#ncwx,61
#ThankATeacher,61
#HillaryClinton,61
#EPA’s,61
#BreastCancerAwarenessMonth,61
#inauguration2017,61
#ObamaEconomy,61
#Capitol,61
#Columbus,61
#ExImBank,61
#telehealth,61
#Solyndra,61
#TeamPearce,61
#GA11,61
#OH04,61
#CD8,61
#LIVE,60
#EnergyDominance,60
#HappyEaster,60
#NYC,60
#EarthDay,60
#vote,60
#Russian,60
#TaxCutsForAmerica,60
#az06,60
#accountability,59
#FISA702,59
#ECPA,59
#DrainTheSwamp,59
#115thCongress,59
#TSA,59
#SXSW,59
#GoArmy,59
#taxday,59
#A1P,59
#VA01,59
#SKILLSAct,59
#SecureOurBorders,59
#kristinoem,59
#DefundPlannedParenthood,58
#Barcelona,58
#SmallBizWeek,58
#NationalAdoptionMonth,58
#KY1,58
#ObamaCare's,58
#GoldStarFamilies,58
#Sandy,58
#catfish,58
#CDA230,58
#TrumpPence16,58
#Reno,58
#chsnews,58
#adoption,57
#Internet,57
#leadership,57
#VEDay70,57
#cancer,57
#FakeNews,57
#HumanRights,57
#digitaldivide,57
#Aleppo,57
#RateShock,57
#Cleveland,57
#NotForSale,57
#Ohio’s,57
#TX08,57
#SMDSymposium,57
#OH05,57
#NorthCarolina,56
#Brexit,56
#FNS,56
#conservation,56
#HR7,56
#SBW2015,56
#SingaporeSummit,56
#Mexico,56
#Danville,56
#ConcealedCarry,56
#FundOurTroops,56
#democracia,56
#GulfCoast,56
#GOPWomen,56
#publiclands,56
#Dayton,56
#ALpol,56
#TeamCindy,56
#SolarEclipse2017,55
#NationalSelfieDay,55
#sequestration,55
#IGReport,55
#Virginia,55
#Hemp,55
#technology,55
#wildfire,55
#ReadTheBill,55
#TheStory,55
#PerkinsCTE,55
#ManufacturingDay,55
#winning,55
#VeteransFirst,55
#EndItMovement,55
#1A,55
#oil,55
#StoriesFromOhio,55
#ALSen,55
#VoteCassidy,55
#mtnews,55
#Cindy2018,55
#SaveLWCF,54
#MFGDay17,54
#SmallBizWeek2016,54
#CAC2015,54
#HappyMothersDay,54
#Omnibus,54
#GA,54
#TaxReformTuesday,54
#TuneIn,54
#HealthCare,54
#NeilGorsuch,54
#debate,54
#CadillacTax,54
#LGBT,54
#Bismarck,54
#UNATT,54
#BearsEars,54
#PSU,54
#WyoWorks,54
#Rockford,54
#ConfidentAmerica,53
#BillofRightsDay,53
#Hannity,53
#MemorialDayWeekend,53
#liberty,53
#WhyCTE,53
#NOLA,53
#IRStargeting,53
#utleg,53
#lou,53
#stateofprovo,53
#WA03,53
#peoriaaz,53
#Opioid,52
#SOHillDay,52
#redtape,52
#DeathTax,52
#Transportation,52
#NIH,52
#FortWorth,52
#HookEm,52
#cutcapbalance,52
#ut4,52
#Huskers,52
#PatriotAct,51
#Republican,51
#privacy,51
#HonorThem,51
#JASTA,51
#Freedom,51
#MedalOfHonor,51
#SupportOurTroops,51
#WorldCup,51
#KeepYourPlan,51
#Navy,51
#Republicans,51
#NCpol,51
#ClimateChange,51
#MO7,51
#bipartisanroadtrip,51
#StuckInTheSenate,51
#unemployment,51
#tlot,51
#stribpol,51
#NaturalResource,51
#Matthew,50
#ncgop,50
#NationalGuard,50
#terrorism,50
#31ReasonsForTaxReform,50
#Infrastructure,50
#NoAmnesty,50
#SGF,50
#Japan,50
#CA,50
#Defense,50
#Kansas,50
#Nevadans,50
#CURES,50
#ArkansanOfTheWeek,50
#bbctbq,50
#BayAreaHarder,50
#ThankACopThursday,50
#BackToWork,49
#FiscalCliff,49
#cjreform,49
#OutnumberedOT,49
#LawEnforcement,49
#Passover,49
#NationalSchoolChoiceWeek,49
#space,49
#diabetes,49
#AmericanEnergy,49
#OneidaCounty,49
#LoveYourPassion,49
#godblesstexas,49
#Aurora,49
#Hurricane,48
#MilitarySpouseAppreciationDay,48
#ObamaFlightDelays,48
#ImmigrationReform,48
#242NavyBday,48
#security,48
#ethanol,48
#CAC2016,48
#Normandy,48
#NetanyahuSpeech,48
#HappyHalloween,48
#HR6,48
#TaxCutAndJobsAct,48
#VAWA,48
#stopthetaxhike,48
#ruralhealth,48
#SOTUGOP,48
#hc,48
#2016SLS,48
#Tucson,48
#CurtisTownHall,48
#JosephProjectWI,48
#GoPackGo,47
#smallbusinessweek,47
#FIRSTSTEPAct,47
#S,47
#HydeSavesLives,47
#ClintonEmails,47
#ACURatings,47
#4thOfJuly,47
#tariffs,47
#NASCAR,47
#acorn,47
#NFIP,47
#NoAbortionCoercion,47
#RIP,47
#entrepreneurship,47
#StartupDay,47
#USWNT,47
#HailWV,47
#NMPol,47
#NDAL,47
#Sestak,47
#provorocks,47
#SC01,47
#sc02BusTour,47
#41,46
#Rke,46
#InaugurationDay,46
#Clinton,46
#SouthCarolina,46
#MFGDay18,46
#bipartisanship,46
#marchforlife,46
#ClayHuntSAVAct,46
#StandWithICE,46
#Pentagon,46
#HBCUFlyIn,46
#thankyou,46
#TCJA,46
#BOLDAlzheimersAct,46
#Buckeyes,46
#NorthDakota’s,46
#WestVirginia,46
#VoteNow,46
#MuslimBan,46
#VeteransHistoryProject,46
#NV's,46
#NNY,46
#kypolitics,46
#gopdebate,46
#Townhall,46
#SpendingIsTheProblem,45
#HouseOfCode,45
#SmallBizSaturday,45
#hurricane,45
#CWC,45
#ChildTaxCredit,45
#355Ships,45
#TermLimits,45
#SAFEAct,45
#NationalAgWeek,45
#Homeland,45
#CPP,45
#EMAW,45
#KS04,45
#SOSNicaragua,45
#BringBackOurMarine,45
#Jackson,45
#Gruber,45
#Tahmooressi,45
#TaxRelief,45
#Parkland,45
#GA01,45
#flapol,45
#CAGOP,45
#PennyPlan,45
#RegulationRewind,45
#LeeTownhall,45
#BeThere,44
#ThisWeek,44
#Gosnell,44
#rice,44
#TexasIndependenceDay,44
#HolocaustMemorialDay,44
#Sochi2014,44
#VEDay,44
#NY,44
#CR,44
#aviation,44
#USMC,44
#Art,44
#highered,44
#Russia’s,44
#5G,44
#WhoDat,44
#Allentown,44
#ABI,44
#PalazzoLeaders,44
#FlintWaterCrisis,43
#fentanyl,43
#IoT,43
#NationalAdoptionDay,43
#MarineCorpsBirthday,43
#VeteransDay2017,43
